Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.85
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
168961,2025-04-09 15:28:23.818,0.11485,25.84
169441,2025-04-09 15:28:23.823,-0.78438,25.89
169921,2025-04-09 15:28:23.828,-0.51619,25.93
170401,2025-04-09 15:28:23.833,0.52373,25.98
170881,2025-04-09 15:28:23.838,0.77875,26.02
171361,2025-04-09 15:28:23.843,-0.13853,26.07
171841,2025-04-09 15:28:23.848,-0.84714,26.11
172321,2025-04-09 15:28:23.853,-0.27151,26.16
172801,2025-04-09 15:28:23.858,0.71777,26.2
173281,2025-04-09 15:28:23.863,0.61132,26.25
173761,2025-04-09 15:28:23.868,-0.43237,26.29
174241,2025-04-09 15:28:23.873,-0.81155,26.34
174721,2025-04-09 15:28:23.878,0.06206,26.38
175201,2025-04-09 15:28:23.883,0.84008,26.43
175681,2025-04-09 15:28:23.888,0.31225,26.47
176161,2025-04-09 15:28:23.893,-0.70319,26.52
176641,2025-04-09 15:28:23.898,-0.61804,26.56
177121,2025-04-09 15:28:23.903,0.43845,26.61
177601,2025-04-09 15:28:23.908,0.80412,26.65
178081,2025-04-09 15:28:23.913,-0.1026,26.7
178561,2025-04-09 15:28:23.918,-0.84691,26.74
179041,2025-04-09 15:28:23.923,-0.24197,26.79
179521,2025-04-09 15:28:23.928,0.75028,26.83
180001,2025-04-09 15:28:23.933,0.5391,26.88
180481,2025-04-09 15:28:23.938,-0.5403,26.92
180961,2025-04-09 15:28:23.943,-0.74727,26.97
181441,2025-04-09 15:28:23.948,0.25724,27.01
181921,2025-04-09 15:28:23.953,0.84378,27.06
182401,2025-04-09 15:28:23.958,0.05319,27.1
182881,2025-04-09 15:28:23.963,-0.82494,27.15
183361,2025-04-09 15:28:23.968,-0.34767,27.19
183841,2025-04-09 15:28:23.973,0.7032,27.24
184321,2025-04-09 15:28:23.978,0.59101,27.28
184801,2025-04-09 15:28:23.983,-0.50246,27.33
185281,2025-04-09 15:28:23.988,-0.75944,27.37
185761,2025-04-09 15:28:23.993,0.25279,27.42
186241,2025-04-09 15:28:23.998,0.84157,27.46
186721,2025-04-09 15:28:24.003,0.01463,27.51
187201,2025-04-09 15:28:24.008,-0.83738,27.55
187681,2025-04-09 15:28:24.013,-0.27148,27.6
188161,2025-04-09 15:28:24.018,0.75598,27.64
188641,2025-04-09 15:28:24.023,0.49502,27.69
189121,2025-04-09 15:28:24.028,-0.61277,27.73
189601,2025-04-09 15:28:24.033,-0.66946,27.78
190081,2025-04-09 15:28:24.038,0.4264,27.82
190561,2025-04-09 15:28:24.043,0.78619,27.87
191041,2025-04-09 15:28:24.048,-0.21623,27.91
191521,2025-04-09 15:28:24.053,-0.84312,27.96
192001,2025-04-09 15:28:24.058,0.0002,28.0
192481,2025-04-09 15:28:24.063,0.84347,28.05
192961,2025-04-09 15:28:24.068,0.20653,28.09
193441,2025-04-09 15:28:24.073,-0.7943,28.14
193921,2025-04-09 15:28:24.078,-0.39236,28.18
194401,2025-04-09 15:28:24.083,0.705,28.23
194881,2025-04-09 15:28:24.088,0.54943,28.27
195361,2025-04-09 15:28:24.093,-0.58599,28.32
195841,2025-04-09 15:28:24.098,-0.67346,28.36
196321,2025-04-09 15:28:24.103,0.4476,28.41
196801,2025-04-09 15:28:24.108,0.76323,28.45
197281,2025-04-09 15:28:24.113,-0.29928,28.5
197761,2025-04-09 15:28:24.118,-0.81996,28.54
198241,2025-04-09 15:28:24.123,0.14911,28.59
198721,2025-04-09 15:28:24.128,0.84665,28.63
199201,2025-04-09 15:28:24.133,-0.00355,28.68
199681,2025-04-09 15:28:24.138,-0.84744,28.72
200161,2025-04-09 15:28:24.143,-0.13262,28.77
200641,2025-04-09 15:28:24.148,0.82706,28.81
201121,2025-04-09 15:28:24.153,0.25623,28.86
