Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
157,2025-04-09 16:44:36.444,25.059,1495.48,35.39
161,2025-04-09 16:44:36.489,25.009,1002.93,35.16
158,2025-04-09 16:44:36.654,-31.493,1002.94,35.39
162,2025-04-09 16:44:36.656,25.052,624.64,35.39
163,2025-04-09 16:44:36.854,25.023,623.26,35.39
159,2025-04-09 16:44:36.855,24.988,907.09,35.39
160,2025-04-09 16:44:37.056,24.98,843.95,35.4
164,2025-04-09 16:44:37.059,-28.257,1002.91,35.4
161,2025-04-09 16:44:37.253,25.023,1002.93,35.38
165,2025-04-09 16:44:37.333,25.047,1002.92,35.3
162,2025-04-09 16:44:37.455,25.047,813.0,35.38
166,2025-04-09 16:44:37.458,-11.06,1002.9,35.38
167,2025-04-09 16:44:37.655,25.093,815.77,35.39
163,2025-04-09 16:44:37.657,-8.603,1002.93,35.39
164,2025-04-09 16:44:37.858,-127.28,526.38,35.37
168,2025-04-09 16:44:37.859,-116.234,948.15,35.37
165,2025-04-09 16:44:38.054,25.064,639.28,35.38
169,2025-04-09 16:44:38.055,25.064,907.04,35.38
170,2025-04-09 16:44:38.258,-127.28,526.6,35.39
166,2025-04-09 16:44:38.259,-116.234,948.23,35.39
167,2025-04-09 16:44:38.456,25.038,836.41,35.37
171,2025-04-09 16:44:38.459,-13.517,1002.98,35.37
172,2025-04-09 16:44:38.653,25.081,1552.4,35.39
168,2025-04-09 16:44:38.697,25.047,1002.96,35.17
169,2025-04-09 16:44:38.808,-4.303,648.48,35.35
173,2025-04-09 16:44:38.810,-28.259,907.01,35.35
170,2025-04-09 16:44:39.057,-33.784,615.02,35.38
174,2025-04-09 16:44:39.058,-28.259,907.13,35.38
175,2025-04-09 16:44:39.293,25.023,642.1,35.4
171,2025-04-09 16:44:39.295,25.009,907.0,35.4
176,2025-04-09 16:44:39.458,-23.344,626.71,35.4
172,2025-04-09 16:44:39.459,-28.259,907.07,35.4
173,2025-04-09 16:44:39.657,25.04,825.29,35.39
177,2025-04-09 16:44:39.659,-12.903,1002.94,35.39
174,2025-04-09 16:44:39.808,-0.003,653.47,35.39
178,2025-04-09 16:44:39.810,-28.259,906.98,35.39
175,2025-04-09 16:44:40.054,25.067,1552.22,35.39
179,2025-04-09 16:44:40.056,25.067,1002.98,35.39
176,2025-04-09 16:44:40.263,24.947,1002.95,35.41
180,2025-04-09 16:44:40.329,24.947,1002.96,35.24
181,2025-04-09 16:44:40.458,25.023,838.79,35.43
177,2025-04-09 16:44:40.460,-17.202,1002.97,35.43
178,2025-04-09 16:44:40.658,-8.603,643.51,35.4
182,2025-04-09 16:44:40.659,-28.259,907.02,35.4
183,2025-04-09 16:44:40.858,25.067,1002.96,35.41
179,2025-04-09 16:44:40.930,25.067,1002.95,35.28
180,2025-04-09 16:44:41.052,25.11,1002.93,35.38
184,2025-04-09 16:44:41.056,25.11,1002.93,35.38
185,2025-04-09 16:44:41.255,24.985,1002.96,35.41
181,2025-04-09 16:44:41.334,25.019,1002.96,35.3
186,2025-04-09 16:44:41.534,-6.817,1002.95,35.2
