Parameter,Value
Start Frequency,10
End Frequency,150
Frequency Duration,1
Smooth Transition,False
Pause Duration,0.5
Amplitude,0.2
Frequency Step,5
Total Duration,10
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.05
Amplitude End,0.5
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
174241,2025-04-08 22:18:13.334,0.19754,15
174721,2025-04-08 22:18:13.339,0.19021,15
175201,2025-04-08 22:18:13.344,0.14142,15
175681,2025-04-08 22:18:13.349,0.0618,15
176161,2025-04-08 22:18:13.354,-0.03129,15
176641,2025-04-08 22:18:13.359,-0.11756,15
177121,2025-04-08 22:18:13.364,-0.1782,15
177601,2025-04-08 22:18:13.369,-0.2,15
178081,2025-04-08 22:18:13.374,-0.1782,15
178561,2025-04-08 22:18:13.379,-0.11756,15
179041,2025-04-08 22:18:13.384,-0.03129,15
179521,2025-04-08 22:18:13.389,0.0618,15
180001,2025-04-08 22:18:13.394,0.14142,15
180481,2025-04-08 22:18:13.399,0.19021,15
180961,2025-04-08 22:18:13.404,0.19754,15
181441,2025-04-08 22:18:13.409,0.1618,15
181921,2025-04-08 22:18:13.414,0.0908,15
182401,2025-04-08 22:18:13.419,0.0,15
182881,2025-04-08 22:18:13.424,-0.0908,15
183361,2025-04-08 22:18:13.429,-0.1618,15
183841,2025-04-08 22:18:13.434,-0.19754,15
184321,2025-04-08 22:18:13.439,-0.19021,15
184801,2025-04-08 22:18:13.444,-0.14142,15
185281,2025-04-08 22:18:13.449,-0.0618,15
185761,2025-04-08 22:18:13.454,0.03129,15
186241,2025-04-08 22:18:13.459,0.11756,15
186721,2025-04-08 22:18:13.464,0.1782,15
187201,2025-04-08 22:18:13.469,0.2,15
187681,2025-04-08 22:18:13.474,0.1782,15
188161,2025-04-08 22:18:13.479,0.11756,15
188641,2025-04-08 22:18:13.484,0.03129,15
189121,2025-04-08 22:18:13.489,-0.0618,15
189601,2025-04-08 22:18:13.494,-0.14142,15
190081,2025-04-08 22:18:13.499,-0.19021,15
190561,2025-04-08 22:18:13.504,-0.19754,15
191041,2025-04-08 22:18:13.509,-0.1618,15
191521,2025-04-08 22:18:13.514,-0.0908,15
192001,2025-04-08 22:18:13.519,0.0,20
192481,2025-04-08 22:18:13.524,0.11756,20
192961,2025-04-08 22:18:13.529,0.19021,20
193441,2025-04-08 22:18:13.534,0.19021,20
193921,2025-04-08 22:18:13.539,0.11756,20
194401,2025-04-08 22:18:13.544,0.0,20
194881,2025-04-08 22:18:13.549,-0.11756,20
195361,2025-04-08 22:18:13.554,-0.19021,20
195841,2025-04-08 22:18:13.559,-0.19021,20
196321,2025-04-08 22:18:13.564,-0.11756,20
196801,2025-04-08 22:18:13.569,-0.0,20
197281,2025-04-08 22:18:13.574,0.11756,20
197761,2025-04-08 22:18:13.579,0.19021,20
198241,2025-04-08 22:18:13.584,0.19021,20
198721,2025-04-08 22:18:13.589,0.11756,20
199201,2025-04-08 22:18:13.594,0.0,20
199681,2025-04-08 22:18:13.599,-0.11756,20
200161,2025-04-08 22:18:13.604,-0.19021,20
200641,2025-04-08 22:18:13.609,-0.19021,20
201121,2025-04-08 22:18:13.614,-0.11756,20
201601,2025-04-08 22:18:13.619,-0.0,20
202081,2025-04-08 22:18:13.624,0.11756,20
202561,2025-04-08 22:18:13.629,0.19021,20
203041,2025-04-08 22:18:13.634,0.19021,20
203521,2025-04-08 22:18:13.639,0.11756,20
204001,2025-04-08 22:18:13.644,0.0,20
204481,2025-04-08 22:18:13.649,-0.11756,20
204961,2025-04-08 22:18:13.654,-0.19021,20
205441,2025-04-08 22:18:13.659,-0.19021,20
205921,2025-04-08 22:18:13.664,-0.11756,20
206401,2025-04-08 22:18:13.669,-0.0,20
206881,2025-04-08 22:18:13.674,0.11756,20
207361,2025-04-08 22:18:13.679,0.19021,20
207841,2025-04-08 22:18:13.684,0.19021,20
208321,2025-04-08 22:18:13.689,0.11756,20
208801,2025-04-08 22:18:13.694,0.0,20
209281,2025-04-08 22:18:13.699,-0.11756,20
209761,2025-04-08 22:18:13.704,-0.19021,20
210241,2025-04-08 22:18:13.709,-0.19021,20
210721,2025-04-08 22:18:13.714,-0.11756,20
211201,2025-04-08 22:18:13.719,-0.0,20
211681,2025-04-08 22:18:13.724,0.11756,20
212161,2025-04-08 22:18:13.729,0.19021,20
212641,2025-04-08 22:18:13.734,0.19021,20
213121,2025-04-08 22:18:13.739,0.11756,20
213601,2025-04-08 22:18:13.744,0.0,20
214081,2025-04-08 22:18:13.749,-0.11756,20
214561,2025-04-08 22:18:13.754,-0.19021,20
215041,2025-04-08 22:18:13.759,-0.19021,20
215521,2025-04-08 22:18:13.764,-0.11756,20
216001,2025-04-08 22:18:13.769,-0.0,20
216481,2025-04-08 22:18:13.774,0.11756,20
216961,2025-04-08 22:18:13.779,0.19021,20
217441,2025-04-08 22:18:13.784,0.19021,20
217921,2025-04-08 22:18:13.789,0.11756,20
218401,2025-04-08 22:18:13.794,0.0,20
218881,2025-04-08 22:18:13.799,-0.11756,20
219361,2025-04-08 22:18:13.804,-0.19021,20
219841,2025-04-08 22:18:13.809,-0.19021,20
220321,2025-04-08 22:18:13.814,-0.11756,20
220801,2025-04-08 22:18:13.819,-0.0,20
221281,2025-04-08 22:18:13.824,0.11756,20
221761,2025-04-08 22:18:13.829,0.19021,20
222241,2025-04-08 22:18:13.834,0.19021,20
222721,2025-04-08 22:18:13.839,0.11756,20
223201,2025-04-08 22:18:13.844,-0.0,20
223681,2025-04-08 22:18:13.849,-0.11756,20
224161,2025-04-08 22:18:13.854,-0.19021,20
224641,2025-04-08 22:18:13.859,-0.19021,20
225121,2025-04-08 22:18:13.864,-0.11756,20
225601,2025-04-08 22:18:13.869,-0.0,20
226081,2025-04-08 22:18:13.874,0.11756,20
226561,2025-04-08 22:18:13.879,0.19021,20
227041,2025-04-08 22:18:13.884,0.19021,20
227521,2025-04-08 22:18:13.889,0.11756,20
228001,2025-04-08 22:18:13.894,0.0,20
228481,2025-04-08 22:18:13.899,-0.11756,20
228961,2025-04-08 22:18:13.904,-0.19021,20
229441,2025-04-08 22:18:13.909,-0.19021,20
229921,2025-04-08 22:18:13.914,-0.11756,20
230401,2025-04-08 22:18:13.919,-0.0,20
230881,2025-04-08 22:18:13.924,0.11756,20
231361,2025-04-08 22:18:13.929,0.19021,20
231841,2025-04-08 22:18:13.934,0.19021,20
232321,2025-04-08 22:18:13.939,0.11756,20
232801,2025-04-08 22:18:13.944,0.0,20
233281,2025-04-08 22:18:13.949,-0.11756,20
233761,2025-04-08 22:18:13.954,-0.19021,20
234241,2025-04-08 22:18:13.959,-0.19021,20
234721,2025-04-08 22:18:13.964,-0.11756,20
235201,2025-04-08 22:18:13.969,-0.0,20
235681,2025-04-08 22:18:13.974,0.11756,20
236161,2025-04-08 22:18:13.979,0.19021,20
236641,2025-04-08 22:18:13.984,0.19021,20
237121,2025-04-08 22:18:13.989,0.11756,20
237601,2025-04-08 22:18:13.994,0.0,20
238081,2025-04-08 22:18:13.999,-0.11756,20
238561,2025-04-08 22:18:14.004,-0.19021,20
239041,2025-04-08 22:18:14.009,-0.19021,20
239521,2025-04-08 22:18:14.014,-0.11756,20
240001,2025-04-08 22:18:14.019,-0.0,20
240481,2025-04-08 22:18:14.024,0.11756,20
240961,2025-04-08 22:18:14.029,0.19021,20
241441,2025-04-08 22:18:14.034,0.19021,20
241921,2025-04-08 22:18:14.039,0.11756,20
242401,2025-04-08 22:18:14.044,-0.0,20
242881,2025-04-08 22:18:14.049,-0.11756,20
243361,2025-04-08 22:18:14.054,-0.19021,20
243841,2025-04-08 22:18:14.059,-0.19021,20
244321,2025-04-08 22:18:14.064,-0.11756,20
244801,2025-04-08 22:18:14.069,-0.0,20
245281,2025-04-08 22:18:14.074,0.11756,20
245761,2025-04-08 22:18:14.079,0.19021,20
246241,2025-04-08 22:18:14.084,0.19021,20
246721,2025-04-08 22:18:14.089,0.11756,20
247201,2025-04-08 22:18:14.094,0.0,20
247681,2025-04-08 22:18:14.099,-0.11756,20
248161,2025-04-08 22:18:14.104,-0.19021,20
